10:14:05                        Запускается сервис Монитора Установки...
10:14:05                        Версия сервиса: 0x105
10:14:05                        Запускаем 'uTorrentPro_v3.6.0.47116.exe'...
10:14:05                        Монитор установки запущен
10:14:05    Создана папка       C:\Users\xmoon\AppData\Local\Temp\is-6C9KK.tmp
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-6C9KK.tmp\uTorrentPro_v3.6.0.47116.tmp
10:14:05    Создан процесс      C:\Users\xmoon\AppData\Local\Temp\is-6C9KK.tmp\uTorrentPro_v3.6.0.47116.tmp
10:14:05    Создана папка       C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp
10:14:05    Создана папка       C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\_isetup
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\_isetup\_setup64.tmp
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\_isetup\_shfoldr.dll
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\_isetup\_iscrypt.dll
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\iswin7logo.dll
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\rus.jpg
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\ua.jpg
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\eng.jpg
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\icon.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\botva2.dll
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\Installer net.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\Portable.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\1.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\Logo.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\port neaktiv.png
10:14:05    Создан файл         C:\Users\xmoon\AppData\Local\Temp\is-4HPUO.tmp\stac.png
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\unins000.dat
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-3433L.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\unins000.exe
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-PLQCF.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\apps
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-SM69R.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\bt_datachannel.dll
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-3NVIS.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\flags.bmp
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-MUQFA.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\flags.conf
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-6DN9P.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\helper
10:16:17    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-7BVBA.tmp
10:16:17    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\libcrypto-3.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-NB759.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\libssl-3.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-L9K2A.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\maindoc.ico
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-6FPRN.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\share
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-N5P40.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\tray.ico
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-FO8RM.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\updates
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-A20PC.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\utorrent.exe
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\is-F4EI1.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\utorrent.lng
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\is-ELA2K.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\btinstall.txt
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\is-AUCVS.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\libvlc.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\is-P6258.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\libvlccore.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\is-IAL0G.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\plugins.dat
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\3dnow\is-N189V.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\3dnow\libmemcpy3dn_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-RPPVI.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_attachment_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-H8GAO.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_bd_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-1STUS.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_ftp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-DTVGP.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_http_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-4V2CH.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_imem_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-VQ02H.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_mms_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-QV98S.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_rar_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-SJ71O.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_realrtsp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-2NISG.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_smb_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-GN8PD.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_tcp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-963U8.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_udp_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-5UNRN.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libaccess_vdr_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-7F098.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libcdda_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-ACAG4.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libdshow_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-P662P.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libdtv_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-142HC.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libdvdnav_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-M1LGG.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libdvdread_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-VSJRD.tmp
10:16:18    Переименование      C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\libfilesystem_plugin.dll
10:16:18    Создан файл         C:\Users\xmoon\AppData\Roaming\uTorrent\player\plugins\access\is-PTGU7.tmp
